"saat","sure"
"85146",	45
"85420",	57
"85642",	34
"90126",	36
"90932",	28
"90937",	29
"91144",	30
"91653",	119
"92131",	50
"92211",	28
"92229",	37
"92259",	27
"92003",	288
"92426",	74
"92507",	38
"92933",	41
"93001",	67
"93625",	19
"93719",	19
"93809",	48
"93925",	61
"93944",	46
"94237",	25
"94246",	38
"94320",	39
"94249",	92
"94530",	65
"94632",	71
"94650",	32
"94854",	39
"95010",	36
"95016",	16
"95004",	63
"95053",	20
"95137",	24
"95203",	50
"95549",	35
"95529",	102
"100108",	47
"100312",	69
"100448",	32
"100500",	56
"100508",	56
"100811",	12
"101023",	49
"101028",	37
"101056",	31
"101130",	66
"101144",	20
"101148",	36
"101212",	58
"101255",	91
"101357",	68
"101514",	12
"101544",	70
"101711",	80
"101745",	67
"101856",	54
"102047",	8
"102010",	55
"102123",	15
"102210",	72
"102217",	45
"102240",	27
"102318",	33
"102342",	29
"102345",	40
"102447",	9
"102448",	47
"102523",	3
"102639",	31
"102726",	49
"102747",	26
"102839",	49
"102731",	186
"102910",	68
"103008",	25
"102947",	74
"103018",	55
"103030",	57
"103058",	23
"103133",	21
"103215",	16
"103223",	39
"103322",	24
"103150",	131
"103337",	52
"103435",	40
"103644",	46
"103728",	19
"103754",	57
"103902",	40
"103712",	196
"103923",	52
"104156",	29
"104221",	26
"104350",	21
"104402",	26
"104651",	50
"104653",	44
"104721",	22
"104813",	57
"104939",	17
"104936",	65
"105037",	21
"105137",	118
"105319",	40
"105531",	67
"105541",	29
"105557",	34
"105604",	53
"105621",	34
"105646",	17
"105731",	25
"105653",	68
"105724",	45
"105831",	20
"105832",	30
"105836",	56
"105910",	63
"105918",	52
"110015",	27
"110027",	52
"110046",	41
"110057",	40
"110208",	12
"110237",	13
"110307",	34
"110404",	20
"110451",	3
"110519",	35
"110523",	12
"110600",	52
"110606",	23
"110629",	36
"110705",	49
"110724",	33
"110705",	67
"110821",	20
"111011",	46
"111121",	47
"110914",	238
"111259",	77
"111524",	7
"111549",	7
"111702",	24
"111707",	45
"111722",	50
"111742",	31
"111803",	55
"111808",	17
"111824",	29
"111854",	32
"111912",	29
"112054",	29
"112159",	25
"112206",	102
"112311",	11
"112410",	23
"112340",	95
"112533",	71
"112625",	67
"112652",	70
"112712",	84
"112732",	34
"112816",	31
"112859",	18
"112946",	64
"113048",	36
"113112",	45
"113125",	55
"113221",	9
"113239",	25
"113253",	22
"113300",	47
"113355",	13
"113433",	7
"113504",	32
"113506",	36
"113545",	34
"113606",	33
"113717",	22
"113911",	33
"114001",	23
"114036",	38
"114038",	36
"114056",	40
"113810",	276
"114402",	12
"114440",	69
"114446",	15
"114513",	20
"114539",	50
"114626",	36
"114535",	184
"114802",	28
"115009",	85
"115207",	37
"115313",	15
"115417",	89
"115635",	29
"115711",	59
"115557",	230
"115847",	23
"120036",	49
"120052",	23
"120146",	49
"120201",	96
"120328",	26
"120011",	264
"120406",	67
"120512",	48
"120551",	41
"120658",	49
"120739",	28
"120743",	64
"120810",	29
"120837",	57
"120930",	29
"121051",	105
"121216",	21
"121301",	14
"121308",	92
"121339",	73
"121355",	5
"121409",	55
"121430",	49
"121511",	24
"121517",	92
"121550",	37
"121559",	75
"121708",	44
"121721",	44
"121820",	34
"121835",	61
"121923",	66
"121922",	99
"122102",	19
"122210",	30
"122223",	105
"122154",	237
"122446",	96
"122628",	6
"122703",	38
"122725",	21
"122718",	43
"122806",	24
"122750",	112
"122843",	45
"122855",	16
"123027",	21
"123033",	14
"123002",	78
"123055",	21
